Words,Count,Adjusted_Freq,Valence,Subjectivity
CHART,160,0.076425941,0,0
LIFE,159,0.075948279,0,0
every,159,0.075948279,0,0
High,159,0.075948279,0.16,0.54
through,158,0.075470617,0,0
birth,157,0.074992954,0,0
relationship,157,0.074992954,0,0
again,156,0.074515292,0,0
drink,155,0.07403763,0,0
so,155,0.07403763,0,0
stopped,154,0.073559968,0,0
pack,154,0.073559968,0,0
said,154,0.073559968,0,0
care,153,0.073082306,0,0
taking,151,0.072126982,0,0
there,151,0.072126982,0,0
Subjects,148,0.070693995,0,0
car,147,0.070216333,0,0
21,147,0.070216333,0,0
weeks,146,0.069738671,0,0
2015,145,0.069261009,0,0
Birth,145,0.069261009,0,0
34,145,0.069261009,0,0
my,145,0.069261009,0,0
His,143,0.068305685,0,0
physically,143,0.068305685,0,0.142857143
over,143,0.068305685,0,0
Xanax,143,0.068305685,0,0
before,142,0.067828023,0,0
Middle,141,0.06735036,0,0
24,138,0.065917374,0,0
abuse,138,0.065917374,0,0
symptoms,137,0.065439712,0,0
22,137,0.065439712,0,0
live,136,0.06496205,0.136363636,0.5
off,135,0.064484388,0,0
depressed,134,0.064006725,0,0
second,133,0.063529063,0,0
11,133,0.063529063,0,0
They,132,0.063051401,0,0
stated,132,0.063051401,0,0
enjoyed,132,0.063051401,0.5,0.7
last,132,0.063051401,0,0.066666667
left,131,0.062573739,0,0
dropped,131,0.062573739,0,0
received,130,0.062096077,0,0
herself,130,0.062096077,0,0
therapy,130,0.062096077,0,0
middle,130,0.062096077,0,0
several,130,0.062096077,0,0
currently,129,0.061618415,0,0.4
35,129,0.061618415,0,0
around,128,0.061140753,0,0
30,128,0.061140753,0,0
didnt,128,0.061140753,0,0
drinks,126,0.060185428,0,0
mood,125,0.059707766,0,0
9,125,0.059707766,0,0
getting,125,0.059707766,0,0
elementary,123,0.058752442,0.3,0.9
lot,122,0.05827478,0,0
charges,120,0.057319456,0,0
told,119,0.056841794,0,0
graduated,117,0.055886469,0,0
than,116,0.055408807,0,0
classes,116,0.055408807,0,0
OK,115,0.054931145,0.5,0.5
drank,115,0.054931145,0,0
45,115,0.054931145,0,0
pregnant,114,0.054453483,0.333333333,0.5
divorce,114,0.054453483,0,0
childhood,113,0.053975821,0,0
never,113,0.053975821,0,0
take,112,0.053498159,0,0
Ages,112,0.053498159,0,0
hospital,112,0.053498159,0,0
beers,112,0.053498159,0,0
same,111,0.053020496,0,0.125
public,111,0.053020496,0,0.066666667
new,110,0.052542834,0.136363636,0.454545455
police,110,0.052542834,0,0
gram,109,0.052065172,0,0
issues,108,0.05158751,0,0
made,108,0.05158751,0,0
Young,107,0.051109848,0.1,0.4
older,107,0.051109848,0.166666667,0.333333333
able,107,0.051109848,0.5,0.625
custody,107,0.051109848,0,0
26,106,0.050632186,0,0
feel,106,0.050632186,0,0
people,105,0.050154524,0,0
different,105,0.050154524,0,0.6
grandmother,104,0.049676862,0,0
IV,103,0.049199199,0,0
down,103,0.049199199,-0.155555556,0.288888889
starting,103,0.049199199,0,0.1
things,101,0.048243875,0,0
prescribed,101,0.048243875,0,0
28,101,0.048243875,0,0
few,100,0.047766213,-0.2,0.1
probation,100,0.047766213,0,0
counseling,98,0.046810889,0,0
inpatient,98,0.046810889,0,0
tried,98,0.046810889,0,0
feels,98,0.046810889,0,0
beer,98,0.046810889,0,0
marriage,97,0.046333227,0,0
27,97,0.046333227,0,0
throughout,97,0.046333227,0,0
events,97,0.046333227,0,0
does,96,0.045855565,0,0
WIR,96,0.045855565,0,0
another,95,0.045377902,0,0
both,95,0.045377902,0,0
stepfather,94,0.04490024,0,0
lost,93,0.044422578,0,0
May,93,0.044422578,0,0
increased,92,0.043944916,0,0
entered,92,0.043944916,0,0
Beers,91,0.043467254,0,0
