Words,Count,Adjusted_Freq,Valence,Subjectivity,,
Ecstasy,3,0.000252164,0,0,,
10th,21,0.001765151,0,0,,
legaldrug,1,8.40548E-05,0,0,,
5xweek,1,8.40548E-05,0,0,,
paddled,1,8.40548E-05,0,0,,
forced,3,0.000252164,-0.3,0.2,,
Christian,8,0.000672438,0,0,,
responsible,5,0.000420274,0.2,0.55,,
isolated,2,0.00016811,0,0,,
fitting,1,8.40548E-05,0.5,0.5,,
hurtful,2,0.00016811,0,0,,
Okemah,1,8.40548E-05,0,0,,
boyfriendlater,1,8.40548E-05,0,0,,
regular,11,0.000924603,0,0.076923077,,
schoolbased,1,8.40548E-05,0,0,,
hormonal,1,8.40548E-05,0,0,,
webcam,1,8.40548E-05,0,0,,
QT,1,8.40548E-05,0,0,,
Lakeside,2,0.00016811,0,0,,
medical,39,0.003278137,0,0,,
Acid,8,0.000672438,0,0,,
pkt,1,8.40548E-05,0,0,,
random,3,0.000252164,-0.5,0.5,,
ovarian,1,8.40548E-05,0,0,,
Suboxone,1,8.40548E-05,0,0,,
chargeslegal,1,8.40548E-05,0,0,,
enjoyed,19,0.001597041,0.5,0.7,,
busy,9,0.000756493,0.1,0.3,,
bipolar,1,8.40548E-05,0,0,,
hrs,1,8.40548E-05,0,0,,
upstairs,1,8.40548E-05,0,0,,
rich,1,8.40548E-05,0.375,0.75,,
sociallypopular,1,8.40548E-05,0,0,,
jailed,2,0.00016811,0,0,,
do,1,8.40548E-05,0,0,,
stop,2,0.00016811,0,0,,
fluid,1,8.40548E-05,0,0.1,,
blinking,1,8.40548E-05,0,0,,
understaffed,1,8.40548E-05,0,0,,
report,3,0.000252164,0,0,,
dt,4,0.000336219,0,0,,
infrequent,4,0.000336219,0,0,,
overbearing,1,8.40548E-05,0,0,,
Disabled,2,0.00016811,-0.2,0.3,,
19,2,0.00016811,0,0,,
bad,53,0.004454905,-0.7,0.666666667,,
18,5,0.000420274,0,0,,
mandatory,1,8.40548E-05,0,0,,
lortab,2,0.00016811,0,0,,
unmotivated,3,0.000252164,0,0,,
testing,1,8.40548E-05,0,0,,
LPCH,3,0.000252164,0,0,,
result,1,8.40548E-05,0,0,,
nontraditional,1,8.40548E-05,0,0,,
encephalopathy,1,8.40548E-05,0,0,,
sporadic,10,0.000840548,0,0,,
depressive,52,0.00437085,0,0,,
best,1,8.40548E-05,1,0.3,,
subject,492,0.041354963,-0.166666667,0.333333333,,
Controlled,2,0.00016811,0,0,,
inappropriate,13,0.001092712,0,0,,
paternal,56,0.004707069,0,0,,
unable,33,0.002773809,-0.5,0.5,,
finger,1,8.40548E-05,0,0,,
contraband,1,8.40548E-05,0,0,,
Ugandan,1,8.40548E-05,0,0,,
lethargic,2,0.00016811,0,0,,
lazy,2,0.00016811,-0.25,1,,
weak,1,8.40548E-05,-0.375,0.625,,
4xyear,2,0.00016811,0,0,,
adapting,1,8.40548E-05,0,0,,
ill,3,0.000252164,-0.5,1,,
30th,4,0.000336219,0,0,,
tough,7,0.000588384,-0.388888889,0.833333333,,
prepared,3,0.000252164,0,0,,
irresponsible,2,0.00016811,0,0,,
Paternal,1,8.40548E-05,0,0,,
38yearold,1,8.40548E-05,0,0,,
unprotected,1,8.40548E-05,0,0,,
250,1,8.40548E-05,0,0,,
speak,2,0.00016811,0,0,,
